Galaxy identifier,Assumed distance (Mpc),Galactocentric radius (kpc),Galactocentric radius (m),Observed circular velocity (km/s),Observed circular velocity (m/s),Uncertainy in v obs (km/s),Gas velocity contribution (km/s),Gas velocity contribution (m/s),Disk velocity contribution (km/s),Disk velocity contribution (m/s),Bulge velocity contribution (km/s),Bulge velocity contribution (m/s),Disk surface brightness (solLum/pc2),Bulge surface brightness (solLum/pc2)
UGC07399,8.43,2.45,7.5607E+19,89.1,89100,2.45,17.93,17930,36.43,36430,0,0,13.6,0
UGC07399,8.43,3.07,9.47402E+19,91.7,91700,2.48,20.44,20440,35.9,35900,0,0,7.77,0
UGC07399,8.43,3.68,1.13565E+20,95.1,95100,3.01,21.54,21540,34.58,34580,0,0,5.32,0
UGC07399,8.43,4.3,1.32698E+20,96.9,96900,3.62,21.34,21340,33.94,33940,0,0,4.08,0
UGC07399,8.43,4.91,1.51523E+20,100,100000,3.9,23.04,23040,32.94,32940,0,0,2.41,0
UGC07399,8.43,5.52,1.70347E+20,103,103000,4.82,25.45,25450,31.6,31600,0,0,1.92,0
UGC07399,8.43,6.13,1.89172E+20,106,106000,4.97,25.55,25550,31.05,31050,0,0,1.31,0
UGC07524,4.74,0.35,1.0801E+19,14.4,14400,2.82,-0.61,-610,15.45,15450,0,0,54.27,0
UGC07524,4.74,0.69,2.12934E+19,24.4,24400,3.97,-1.22,-1220,17.95,17950,0,0,43.05,0
UGC07524,4.74,1.03,3.17858E+19,29.2,29200,3.26,-2.04,-2040,20.19,20190,0,0,30.93,0
UGC07524,4.74,1.38,4.25868E+19,32.9,32900,3.73,-1.72,-1720,21.43,21430,0,0,26.57,0
UGC07524,4.74,1.72,5.30792E+19,37.8,37800,3.41,3.47,3470,22.82,22820,0,0,24.96,0
UGC07524,4.74,2.07,6.38802E+19,42,42000,3.12,3.53,3530,25.15,25150,0,0,21.49,0
UGC07524,4.74,2.41,7.43726E+19,45.1,45100,2.92,4.13,4130,26.82,26820,0,0,19.73,0
UGC07524,4.74,2.76,8.51736E+19,47.6,47600,2.79,6.88,6880,28.98,28980,0,0,17.35,0
UGC07524,4.74,3.1,9.5666E+19,52.3,52300,2.78,9.39,9390,30.06,30060,0,0,14.95,0
UGC07524,4.74,3.45,1.06467E+20,57.3,57300,2.78,11.99,11990,30.89,30890,0,0,12.04,0
UGC07524,4.74,3.79,1.16959E+20,61.4,61400,2.93,14.78,14780,31.14,31140,0,0,11.79,0
UGC07524,4.74,4.14,1.2776E+20,64.5,64500,3.42,16.87,16870,32.08,32080,0,0,10.85,0
UGC07524,4.74,4.48,1.38253E+20,66.4,66400,4.53,18.27,18270,32.77,32770,0,0,9.51,0
UGC07524,4.74,4.82,1.48745E+20,66.9,66900,5.46,19.32,19320,33.02,33020,0,0,8.75,0
UGC07524,4.74,5.17,1.59546E+20,69.4,69400,4.77,19.78,19780,33.86,33860,0,0,8.46,0
UGC07524,4.74,5.51,1.70039E+20,70.2,70200,4.44,19.55,19550,34.37,34370,0,0,6.93,0
UGC07524,4.74,5.86,1.8084E+20,70.9,70900,4.24,19.78,19780,34.15,34150,0,0,6.35,0
UGC07524,4.74,6.2,1.91332E+20,72.3,72300,4.38,20.48,20480,34.36,34360,0,0,6.28,0
UGC07524,4.74,6.55,2.02133E+20,73.9,73900,3.51,21.53,21530,34.78,34780,0,0,5.87,0
UGC07524,4.74,6.89,2.12625E+20,75,75000,3.22,22.81,22810,35.14,35140,0,0,5.48,0
UGC07524,4.74,7.25,2.23735E+20,75.5,75500,3.23,24.09,24090,35.58,35580,0,0,5.16,0
UGC07524,4.74,7.58,2.33919E+20,77.1,77100,2.98,25.37,25370,36.1,36100,0,0,4.85,0
UGC07524,4.74,7.94,2.45028E+20,77,77000,2.79,26.77,26770,36.68,36680,0,0,4.42,0
UGC07524,4.74,8.27,2.55212E+20,77,77000,2.82,28.28,28280,37.11,37110,0,0,4.01,0
UGC07524,4.74,8.63,2.66322E+20,78.2,78200,2.93,29.91,29910,37.49,37490,0,0,3.56,0
UGC07524,4.74,8.97,2.76814E+20,79.6,79600,3.14,31.07,31070,37.76,37760,0,0,3.14,0
UGC07524,4.74,9.3,2.86998E+20,80.3,80300,3.39,32.12,32120,37.98,37980,0,0,2.76,0
UGC07524,4.74,9.66,2.98108E+20,81.2,81200,3.66,33.05,33050,38.12,38120,0,0,2.36,0
UGC07524,4.74,9.99,3.08291E+20,82.3,82300,3.9,33.75,33750,38.33,38330,0,0,2.09,0
UGC07524,4.74,10.35,3.19401E+20,83.8,83800,4.1,34.21,34210,38.96,38960,0,0,1.89,0
UGC07524,4.74,10.69,3.29893E+20,79,79000,2.78,34.56,34560,38.32,38320,0,0,0,0
UGC07559,4.97,0.36,1.11096E+19,9.31,9310,3.23,2.82,2820,9.53,9530,0,0,30.89,0
UGC07559,4.97,0.72,2.22192E+19,15.9,15900,3.23,5.91,5910,14.9,14900,0,0,16.96,0
UGC07559,4.97,1.08,3.33288E+19,21.4,21400,3.23,7.85,7850,16.55,16550,0,0,9,0
UGC07559,4.97,1.45,4.4747E+19,26.1,26100,3.23,9.57,9570,17.31,17310,0,0,4.91,0
UGC07559,4.97,1.8,5.5548E+19,29.7,29700,3.23,11.59,11590,16.91,16910,0,0,2.03,0
UGC07559,4.97,2.17,6.69662E+19,31.1,31100,3.23,14.33,14330,15.67,15670,0,0,1.39,0
UGC07559,4.97,2.53,7.80758E+19,32.1,32100,3.23,16.45,16450,15.47,15470,0,0,0,0
UGC07577,2.59,0.19,5.8634E+18,3.74,3740,3.17,-1.81,-1810,3.43,3430,0,0,14.37,0
UGC07577,2.59,0.38,1.17268E+19,5.4,5400,3.17,-1.88,-1880,6.16,6160,0,0,13.48,0
UGC07577,2.59,0.57,1.75902E+19,7.31,7310,3.17,1.42,1420,8.66,8660,0,0,11.74,0
UGC07577,2.59,0.75,2.3145E+19,8.85,8850,3.17,4.71,4710,10.45,10450,0,0,8.8,0
UGC07577,2.59,0.94,2.90084E+19,10.7,10700,3.17,5.82,5820,11.68,11680,0,0,6.16,0
UGC07577,2.59,1.13,3.48718E+19,12.4,12400,3.17,6.52,6520,12.49,12490,0,0,4.5,0
UGC07577,2.59,1.32,4.07352E+19,14.1,14100,3.17,7.99,7990,13.06,13060,0,0,2.8,0
UGC07577,2.59,1.51,4.65986E+19,15.9,15900,3.17,8.69,8690,12.91,12910,0,0,1.01,0
UGC07577,2.59,1.69,5.21534E+19,17.8,17800,3.17,9.12,9120,11.87,11870,0,0,0,0
UGC07603,4.7,0.34,1.04924E+19,19.6,19600,2.89,4.29,4290,19.73,19730,0,0,106.8,0
UGC07603,4.7,0.68,2.09848E+19,32.5,32500,2.89,6.17,6170,28,28000,0,0,66.32,0
UGC07603,4.7,1.02,3.14772E+19,41.9,41900,2.89,5.94,5940,31.57,31570,0,0,28.35,0
UGC07603,4.7,1.37,4.22782E+19,50.6,50600,2.89,8.81,8810,31.98,31980,0,0,17.64,0
UGC07603,4.7,1.71,5.27706E+19,57,57000,2.89,15.21,15210,31.44,31440,0,0,8.3,0
UGC07603,4.7,2.05,6.3263E+19,60.5,60500,2.89,17.87,17870,29.65,29650,0,0,4.37,0
UGC07603,4.7,2.39,7.37554E+19,60.5,60500,2.89,17.46,17460,27.89,27890,0,0,2.3,0
UGC07603,4.7,2.74,8.45564E+19,60,60000,2.89,15.96,15960,26.14,26140,0,0,1.18,0
UGC07603,4.7,3.08,9.50488E+19,61.5,61500,2.89,15.55,15550,24.58,24580,0,0,0.62,0
UGC07603,4.7,3.42,1.05541E+20,61.5,61500,2.89,16.29,16290,23.19,23190,0,0,0.33,0
UGC07603,4.7,3.76,1.16034E+20,63,63000,2.89,16.96,16960,21.99,21990,0,0,0.17,0
UGC07603,4.7,4.11,1.26835E+20,64,64000,2.89,17.21,17210,20.84,20840,0,0,0,0
UGC07608,8.21,0.6,1.8516E+19,14.6,14600,6.69,4.56,4560,9.68,9680,0,0,17.85,0
UGC07608,8.21,1.19,3.67234E+19,31.5,31500,6.69,6.39,6390,13.08,13080,0,0,8.12,0
UGC07608,8.21,1.79,5.52394E+19,44.8,44800,6.69,9.63,9630,14.81,14810,0,0,5.97,0
UGC07608,8.21,2.38,7.34468E+19,50.6,50600,6.69,13.15,13150,16.52,16520,0,0,4.18,0
UGC07608,8.21,2.99,9.22714E+19,55.6,55600,6.69,14.93,14930,16.97,16970,0,0,2.37,0
UGC07608,8.21,3.59,1.10787E+20,61.4,61400,6.69,18.09,18090,16.51,16510,0,0,1.63,0
UGC07608,8.21,4.18,1.28995E+20,66,66000,6.69,21.26,21260,16.39,16390,0,0,1.31,0
UGC07608,8.21,4.78,1.47511E+20,69.3,69300,6.69,24.12,24120,16.26,16260,0,0,1.09,0
UGC07690,8.11,0.59,1.82074E+19,45.3,45300,4.31,4.24,4240,45.76,45760,0,0,180.6,0
UGC07690,8.11,1.18,3.64148E+19,59.8,59800,4.31,11.75,11750,48.85,48850,0,0,41.99,0
UGC07690,8.11,1.77,5.46222E+19,60.7,60700,4.31,15.81,15810,45.2,45200,0,0,16.24,0
UGC07690,8.11,2.36,7.28296E+19,58.8,58800,4.31,19.15,19150,42.05,42050,0,0,6.57,0
UGC07690,8.11,2.95,9.1037E+19,57.9,57900,4.31,20.97,20970,38.14,38140,0,0,2.06,0
UGC07690,8.11,3.54,1.09244E+20,56.9,56900,4.31,21.99,21990,34.5,34500,0,0,0.42,0
UGC07690,8.11,4.13,1.27452E+20,55.9,55900,4.31,22.39,22390,31.16,31160,0,0,0,0
UGC07866,4.57,0.33,1.01838E+19,12.2,12200,4.07,3.43,3430,9.04,9040,0,0,34.04,0
UGC07866,4.57,0.66,2.03676E+19,19.4,19400,4.07,3.44,3440,13.22,13220,0,0,17.51,0
UGC07866,4.57,1,3.086E+19,23.9,23900,4.07,5.29,5290,17.22,17220,0,0,11.44,0
UGC07866,4.57,1.33,4.10438E+19,26,26000,4.07,8.85,8850,17.5,17500,0,0,5.83,0
UGC07866,4.57,1.67,5.15362E+19,28.2,28200,4.07,11.12,11120,17.11,17110,0,0,3.3,0
UGC07866,4.57,2,6.172E+19,30.6,30600,4.07,13.66,13660,16.29,16290,0,0,2.18,0
UGC07866,4.57,2.32,7.15952E+19,33.1,33100,4.07,14.34,14340,16.35,16350,0,0,1.63,0
UGC08286,6.5,0.47,1.45042E+19,22.2,22200,2.81,-3.85,-3850,16.14,16140,0,0,82.49,0
UGC08286,6.5,0.95,2.9317E+19,43.4,43400,3.47,-1.38,-1380,24.37,24370,0,0,52.72,0
UGC08286,6.5,1.42,4.38212E+19,60.2,60200,3.04,-0.63,-630,30.01,30010,0,0,40.22,0
UGC08286,6.5,1.9,5.8634E+19,69.6,69600,2.05,8.67,8670,34.64,34640,0,0,31.23,0
UGC08286,6.5,2.37,7.31382E+19,72.5,72500,2,11.4,11400,38.52,38520,0,0,22.7,0
UGC08286,6.5,2.84,8.76424E+19,74.3,74300,2.02,11.54,11540,39.29,39290,0,0,15.52,0
UGC08286,6.5,3.3,1.01838E+20,75.8,75800,2.01,12.92,12920,40.32,40320,0,0,11.35,0
UGC08286,6.5,3.78,1.16651E+20,77.2,77200,2.05,16.18,16180,39.87,39870,0,0,7.3,0
UGC08286,6.5,4.25,1.31155E+20,79.3,79300,2.08,18.85,18850,39.64,39640,0,0,4.23,0
UGC08286,6.5,4.73,1.45968E+20,81.3,81300,2.08,23.39,23390,37.47,37470,0,0,2.11,0
UGC08286,6.5,5.2,1.60472E+20,81.6,81600,2.03,23.16,23160,35.37,35370,0,0,1.36,0
UGC08286,6.5,5.67,1.74976E+20,82.1,82100,2.02,23.39,23390,33.69,33690,0,0,0.93,0
UGC08286,6.5,6.15,1.89789E+20,82.9,82900,2,22.11,22110,32.23,32230,0,0,0.61,0
UGC08286,6.5,6.62,2.04293E+20,83.2,83200,2,22.46,22460,30.9,30900,0,0,0.37,0
UGC08286,6.5,7.1,2.19106E+20,83.5,83500,2.02,26.07,26070,29.56,29560,0,0,0.21,0
UGC08286,6.5,7.57,2.3361E+20,83.8,83800,2,25.72,25720,28.4,28400,0,0,0.17,0
UGC08286,6.5,8.04,2.48114E+20,84.3,84300,2,26.3,26300,27.44,27440,0,0,0.12,0
UGC08490,4.65,0.34,1.04924E+19,38.8,38800,3.69,0.91,910,27.87,27870,0,0,246.74,0
UGC08490,4.65,0.68,2.09848E+19,50.1,50100,3.69,7.1,7100,39.52,39520,0,0,115.82,0
UGC08490,4.65,1.02,3.14772E+19,60.2,60200,3.69,10.23,10230,44.52,44520,0,0,75.75,0
UGC08490,4.65,1.36,4.19696E+19,68.2,68200,3.69,12.18,12180,46.26,46260,0,0,41.22,0
UGC08490,4.65,1.69,5.21534E+19,72.8,72800,3.69,14.42,14420,45.8,45800,0,0,27.51,0
UGC08490,4.65,2.03,6.26458E+19,75.3,75300,3.69,15.29,15290,45.05,45050,0,0,15.53,0
UGC08490,4.65,2.37,7.31382E+19,76.6,76600,3.69,18.41,18410,43.11,43110,0,0,9.72,0
UGC08490,4.65,2.7,8.3322E+19,77.6,77600,3.69,20.65,20650,41.2,41200,0,0,6.89,0
UGC08490,4.65,3.05,9.4123E+19,78.5,78500,3.69,21.24,21240,39.62,39620,0,0,4.81,0
UGC08490,4.65,3.38,1.04307E+20,78.2,78200,3.69,22.11,22110,38.18,38180,0,0,3.48,0
UGC08490,4.65,3.72,1.14799E+20,78.8,78800,3.69,23.77,23770,36.93,36930,0,0,2.42,0
UGC08490,4.65,4.06,1.25292E+20,79.2,79200,3.69,25.04,25040,35.68,35680,0,0,1.42,0
UGC08490,4.65,4.39,1.35475E+20,79.2,79200,3.69,24.74,24740,34.2,34200,0,0,0.59,0
UGC08490,4.65,4.74,1.46276E+20,79.2,79200,3.69,24.74,24740,32.41,32410,0,0,0.26,0
UGC08490,4.65,5.08,1.56769E+20,78.8,78800,3.69,23.87,23870,31.05,31050,0,0,0.18,0
UGC08490,4.65,5.41,1.66953E+20,78.5,78500,3.69,22.31,22310,29.85,29850,0,0,0.11,0
UGC08490,4.65,5.75,1.77445E+20,80.1,80100,3.69,22.6,22600,28.79,28790,0,0,0.07,0
UGC08490,4.65,6.09,1.87937E+20,80.1,80100,3.69,23.18,23180,27.84,27840,0,0,0.04,0
UGC08490,4.65,6.42,1.98121E+20,80.1,80100,3.69,22.99,22990,26.98,26980,0,0,0.02,0
UGC08490,4.65,6.77,2.08922E+20,80.1,80100,3.69,22.99,22990,26.18,26180,0,0,0.01,0
UGC08490,4.65,7.11,2.19415E+20,79.8,79800,3.69,22.8,22800,25.47,25470,0,0,0.01,0
UGC08490,4.65,7.44,2.29598E+20,79.8,79800,3.69,23.87,23870,24.82,24820,0,0,0.01,0
UGC08490,4.65,7.78,2.40091E+20,79.5,79500,3.69,24.06,24060,24.22,24220,0,0,0,0
UGC08490,4.65,8.12,2.50583E+20,79.5,79500,3.69,22.89,22890,23.66,23660,0,0,0,0
UGC08490,4.65,8.46,2.61076E+20,78.8,78800,3.69,23.09,23090,23.15,23150,0,0,0,0
UGC08490,4.65,8.8,2.71568E+20,77.9,77900,3.69,23.38,23380,22.65,22650,0,0,0,0
UGC08490,4.65,9.13,2.81752E+20,77.2,77200,3.69,22.8,22800,22.21,22210,0,0,0,0
UGC08490,4.65,9.47,2.92244E+20,77.6,77600,3.69,22.21,22210,21.79,21790,0,0,0,0
UGC08490,4.65,9.77,3.01502E+20,76.6,76600,3.69,22.21,22210,21.43,21430,0,0,0,0
UGC08490,4.65,10.15,3.13229E+20,77.6,77600,3.69,22.5,22500,21,21000,0,0,0,0
UGC08550,6.7,0.49,1.51214E+19,25,25000,2.04,3.42,3420,17.04,17040,0,0,58.85,0
UGC08550,6.7,0.97,2.99342E+19,42.5,42500,2.7,4.1,4100,26.7,26700,0,0,34.44,0
UGC08550,6.7,1.47,4.53642E+19,48,48000,2.15,10.21,10210,28.91,28910,0,0,12.1,0
UGC08550,6.7,1.95,6.0177E+19,49.2,49200,2.08,12.59,12590,27.91,27910,0,0,4.42,0
UGC08550,6.7,2.44,7.52984E+19,50.4,50400,2.06,13.04,13040,24.63,24630,0,0,0.9,0
UGC08550,6.7,2.92,9.01112E+19,51.6,51600,2.04,12.14,12140,22.08,22080,0,0,0.36,0
UGC08550,6.7,3.41,1.05233E+20,53.2,53200,2,13.38,13380,20.22,20220,0,0,0.14,0
UGC08550,6.7,3.89,1.20045E+20,55.1,55100,2.05,14.95,14950,18.69,18690,0,0,0.05,0
UGC08550,6.7,4.39,1.35475E+20,57.8,57800,2.24,18.33,18330,17.42,17420,0,0,0.02,0
UGC08550,6.7,4.88,1.50597E+20,57.3,57300,2,21.25,21250,16.4,16400,0,0,0.01,0
UGC08550,6.7,5.36,1.6541E+20,57.5,57500,2,22.04,22040,15.57,15570,0,0,0,0
UGC08699,39.3,0.22,6.7892E+18,152,152000,39.4,0.62,620,26.39,26390,158.03,158030,1284.41,17156.5
UGC08699,39.3,0.43,1.32698E+19,167,167000,32.9,1.83,1830,47.21,47210,231.8,231800,1125.76,7720.07
UGC08699,39.3,0.65,2.0059E+19,179,179000,20.9,2.76,2760,65.47,65470,250.59,250590,980.53,2738.14
UGC08699,39.3,0.87,2.68482E+19,188,188000,15.7,3.59,3590,80.81,80810,244.02,244020,854.03,1058.7
UGC08699,39.3,1.08,3.33288E+19,195,195000,10.6,4.38,4380,93.2,93200,231.39,231390,748.54,443.76
UGC08699,39.3,1.31,4.04266E+19,199,199000,8.88,5.12,5120,104.66,104660,217.32,217320,647.89,128.19
UGC08699,39.3,1.52,4.69072E+19,202,202000,4.4,5.84,5840,113.51,113510,203.82,203820,567.07,14.44
UGC08699,39.3,1.73,5.33878E+19,202,202000,2.3,6.53,6530,120.8,120800,191.4,191400,494.29,1.36
UGC08699,39.3,1.96,6.04856E+19,202,202000,3.38,7.2,7200,127.95,127950,179.83,179830,433.23,0.1
UGC08699,39.3,2.17,6.69662E+19,200,200000,4.47,7.85,7850,133.72,133720,170.88,170880,374.57,0.01
UGC08699,39.3,2.39,7.37554E+19,196,196000,2.88,8.49,8490,138.13,138130,162.54,162540,305.03,0
UGC08699,39.3,2.6,8.0236E+19,193,193000,3.32,9.1,9100,140.07,140070,156.06,156060,243.47,0
UGC08699,39.3,2.83,8.73338E+19,189,189000,2.21,9.69,9690,139.86,139860,149.58,149580,190.61,0
UGC08699,39.3,3.04,9.38144E+19,184,184000,14,10.26,10260,138.24,138240,144.32,144320,155.5,0
UGC08699,39.3,5.87,1.81148E+20,170,170000,5.45,16.97,16970,124.36,124360,103.86,103860,85.65,0
UGC08699,39.3,6.08,1.87629E+20,172,172000,6.66,17.59,17590,125.28,125280,102.05,102050,83.33,0
UGC08699,39.3,6.3,1.94418E+20,174,174000,3.96,18.32,18320,126.27,126270,100.25,100250,80.59,0
UGC08699,39.3,6.52,2.01207E+20,176,176000,5.18,18.94,18940,127.31,127310,98.55,98550,77.61,0
UGC08699,39.3,6.74,2.07996E+20,178,178000,3.04,19.56,19560,128.27,128270,96.92,96920,74.35,0
UGC08699,39.3,6.95,2.14477E+20,180,180000,2.75,20.18,20180,129.11,129110,95.45,95450,71.73,0
UGC08699,39.3,7.16,2.20958E+20,182,182000,2.34,20.9,20900,130.08,130080,94.04,94040,69.78,0
UGC08699,39.3,7.39,2.28055E+20,183,183000,3.39,21.52,21520,131.37,131370,92.56,92560,68.08,0
UGC08699,39.3,7.6,2.34536E+20,184,184000,7.58,22.25,22250,132.89,132890,91.28,91280,66.23,0
UGC08699,39.3,7.82,2.41325E+20,185,185000,6.08,22.97,22970,134.56,134560,89.98,89980,63.37,0
UGC08699,39.3,8.03,2.47806E+20,186,186000,6.73,23.7,23700,136.18,136180,88.8,88800,60.28,0
UGC08699,39.3,8.26,2.54904E+20,187,187000,6.83,24.42,24420,137.94,137940,87.55,87550,56.45,0
UGC08699,39.3,8.47,2.61384E+20,187,187000,6.11,25.15,25150,139.4,139400,86.46,86460,52.04,0
UGC08699,39.3,8.68,2.67865E+20,188,188000,4.78,25.77,25770,140.55,140550,85.41,85410,47.02,0
UGC08699,39.3,8.91,2.74963E+20,188,188000,4.14,26.49,26490,141.3,141300,84.3,84300,40.84,0
UGC08699,39.3,9.53,2.94096E+20,187,187000,5.93,28.25,28250,140.15,140150,81.51,81510,26.78,0
UGC08699,39.3,9.78,3.01811E+20,187,187000,7.63,28.97,28970,138.99,138990,80.46,80460,22.33,0
UGC08699,39.3,9.99,3.08291E+20,186,186000,7.89,29.6,29600,137.71,137710,79.61,79610,18.95,0
UGC08699,39.3,10.21,3.15081E+20,186,186000,9.86,30.11,30110,136.12,136120,78.75,78750,16.15,0
UGC08699,39.3,11.46,3.53656E+20,182,182000,2.51,33.53,33530,126.5,126500,74.33,74330,7.76,0
UGC08699,39.3,13.39,4.13215E+20,177,177000,3.62,37.77,37770,114.46,114460,68.77,68770,4.2,0
UGC08699,39.3,15.21,4.69381E+20,175,175000,6.71,39.12,39120,106.58,106580,64.52,64520,2.6,0
UGC08699,39.3,17.13,5.28632E+20,177,177000,6.13,39.12,39120,99.72,99720,60.8,60800,1.56,0
UGC08699,39.3,19.06,5.88192E+20,180,180000,3.95,39.01,39010,94,94000,57.64,57640,1.03,0
UGC08699,39.3,20.99,6.47751E+20,181,181000,4.46,38.7,38700,89.28,89280,54.92,54920,0.79,0
UGC08699,39.3,22.92,7.07311E+20,182,182000,7.09,37.05,37050,85.64,85640,52.56,52560,0.5,0
UGC08699,39.3,25.7,7.93102E+20,183,183000,7.49,34.05,34050,80.57,80570,49.64,49640,0.18,0
UGC08837,7.21,0.52,1.60472E+19,7.31,7310,2.12,-3.67,-3670,11.19,11190,0,0,32.26,0
UGC08837,7.21,1.05,3.2403E+19,14.6,14600,2.05,-4.64,-4640,16.58,16580,0,0,21.96,0
UGC08837,7.21,1.57,4.84502E+19,21,21000,2.05,2.4,2400,20.63,20630,0,0,16.46,0
UGC08837,7.21,2.09,6.44974E+19,28.1,28100,2.06,12.6,12600,23.82,23820,0,0,11.7,0
UGC08837,7.21,2.63,8.11618E+19,35.3,35300,2.5,16.76,16760,25.79,25790,0,0,8.74,0
UGC08837,7.21,3.15,9.7209E+19,43,43000,3.38,17.12,17120,27.83,27830,0,0,5.69,0
UGC08837,7.21,3.68,1.13565E+20,46.6,46600,3.15,20.09,20090,26.92,26920,0,0,2.58,0
UGC08837,7.21,4.2,1.29612E+20,48,48000,3,22.95,22950,25.81,25810,0,0,1.25,0
UGC09037,83.6,2.43,7.49898E+19,62.2,62200,5.69,10.89,10890,136.53,136530,0,0,402.36,0
UGC09037,83.6,3.65,1.12639E+20,88.2,88200,3.85,14.29,14290,148.1,148100,0,0,235.2,0
UGC09037,83.6,4.86,1.4998E+20,107,107000,4.42,16.72,16720,150.72,150720,0,0,147.3,0
UGC09037,83.6,6.08,1.87629E+20,120,120000,3.93,25.95,25950,151.05,151050,0,0,121.61,0
UGC09037,83.6,7.29,2.24969E+20,124,124000,5.15,32.85,32850,157.64,157640,0,0,90.72,0
UGC09037,83.6,8.51,2.62619E+20,128,128000,4.29,38.2,38200,155.32,155320,0,0,62.19,0
UGC09037,83.6,9.73,3.00268E+20,133,133000,5.36,40.33,40330,153.04,153040,0,0,48.99,0
UGC09037,83.6,10.96,3.38226E+20,138,138000,6.78,39.17,39170,152.74,152740,0,0,39.66,0
UGC09037,83.6,12.19,3.76183E+20,143,143000,6.42,46.36,46360,150.89,150890,0,0,25.26,0
UGC09037,83.6,13.41,4.13833E+20,146,146000,5.4,53.75,53750,145.59,145590,0,0,18.66,0
UGC09037,83.6,14.55,4.49013E+20,148,148000,4.5,56.66,56660,141.61,141610,0,0,14.96,0
UGC09037,83.6,15.78,4.86971E+20,154,154000,4.46,60.84,60840,137.81,137810,0,0,10.66,0
UGC09037,83.6,17,5.2462E+20,158,158000,4.02,62.11,62110,133.01,133010,0,0,7.68,0
UGC09037,83.6,18.23,5.62578E+20,159,159000,5.07,60.94,60940,128.36,128360,0,0,5.88,0
UGC09037,83.6,19.46,6.00536E+20,160,160000,7.33,60.06,60060,123.99,123990,0,0,4.69,0
UGC09037,83.6,20.69,6.38493E+20,158,158000,7.82,64.05,64050,120.09,120090,0,0,3.96,0
UGC09037,83.6,21.92,6.76451E+20,155,155000,8.07,63.17,63170,117,117000,0,0,3.38,0
UGC09037,83.6,23.14,7.141E+20,156,156000,7.93,61.23,61230,113.92,113920,0,0,2.58,0
UGC09037,83.6,24.28,7.49281E+20,154,154000,9.09,62.4,62400,110.72,110720,0,0,2.11,0
UGC09037,83.6,25.51,7.87239E+20,150,150000,13.4,60.16,60160,107.64,107640,0,0,1.93,0
UGC09037,83.6,26.73,8.24888E+20,141,141000,20.1,64.54,64540,105.08,105080,0,0,1.77,0
UGC09037,83.6,27.96,8.62846E+20,152,152000,16,66.58,66580,102.79,102790,0,0,1.67,0
UGC09133,57.1,0.32,9.8752E+18,284,284000,34.7,-3.24,-3240,26.79,26790,189.88,189880,1402.59,19827.42
UGC09133,57.1,0.63,1.94418E+19,282,282000,18.8,-2.41,-2410,50.47,50470,292.13,292130,1303.47,10165.91
UGC09133,57.1,0.95,2.9317E+19,281,281000,12.6,-0.21,-210,72.14,72140,320.6,320600,1208.5,5354.8
UGC09133,57.1,1.26,3.88836E+19,280,280000,10.6,2.45,2450,90.82,90820,326.59,326590,1123.1,3300.36
UGC09133,57.1,1.58,4.87588E+19,280,280000,10.8,3.54,3540,108.12,108120,325.9,325900,1041.27,2103.94
UGC09133,57.1,1.89,5.83254E+19,279,279000,7.67,4.4,4400,123.29,123290,320.4,320400,967.69,1429.43
UGC09133,57.1,2.21,6.82006E+19,279,279000,11.2,5.23,5230,137.43,137430,313.32,313320,897.18,1006.49
UGC09133,57.1,2.52,7.77672E+19,279,279000,4.45,6.01,6010,149.84,149840,305.5,305500,833.78,748.35
UGC09133,57.1,2.84,8.76424E+19,279,279000,5.03,6.75,6750,161.33,161330,297.22,297220,773.03,612.35
UGC09133,57.1,3.15,9.7209E+19,279,279000,4.26,7.48,7480,171.56,171560,290.7,290700,718.39,534.72
UGC09133,57.1,3.47,1.07084E+20,279,279000,4.14,8.19,8190,181.11,181110,286.88,286880,666.05,422.4
UGC09133,57.1,3.79,1.16959E+20,279,279000,5.73,8.9,8900,189.8,189800,283.42,283420,617.52,288.59
UGC09133,57.1,4.1,1.26526E+20,280,280000,4.52,9.6,9600,197.34,197340,279.37,279370,573.89,189.15
UGC09133,57.1,4.42,1.36401E+20,280,280000,4.86,10.25,10250,204.41,204410,274.03,274030,532.06,95.7
UGC09133,57.1,4.73,1.45968E+20,280,280000,1.59,10.97,10970,210.6,210600,267.5,267500,487.58,49.26
UGC09133,57.1,5.05,1.55843E+20,281,281000,1.85,11.69,11690,215.35,215350,260.4,260400,441.24,24.96
UGC09133,57.1,5.36,1.6541E+20,282,282000,4.81,12.31,12310,218.91,218910,253.49,253490,408.32,12.96
UGC09133,57.1,5.68,1.75285E+20,282,282000,20.3,13.02,13020,222.04,222040,246.69,246690,380.67,6.52
UGC09133,57.1,5.99,1.84851E+20,283,283000,12.8,13.74,13740,224.98,224980,240.45,240450,359.58,3.4
UGC09133,57.1,6.31,1.94727E+20,284,284000,8.08,14.46,14460,228.22,228220,234.35,234350,341.54,1.71
UGC09133,57.1,6.62,2.04293E+20,284,284000,7.81,15.07,15070,231.93,231930,228.92,228920,326.7,0.89
UGC09133,57.1,6.94,2.14168E+20,285,285000,10.4,15.79,15790,235.94,235940,223.68,223680,306.23,0.45
UGC09133,57.1,7.57,2.3361E+20,286,286000,6.82,17.23,17230,242.45,242450,214.14,214140,257.47,0.12
UGC09133,57.1,7.89,2.43485E+20,287,287000,13.4,17.95,17950,243.91,243910,209.75,209750,227.66,0.06
